 ,X,Y
1,236,536
2,346,397
3,374,395
4,406,412
5,444,425
6,489,418
7,551,268
8,621,437
9,719,472
10,777,393
11,846,504
12,930,533
13,1026,559
14,599,1079
15,689,1083
16,431,1635
17,598,1560
18,684,1641
19,427,2263
20,595,2007
21,680,2260
22,737,2281
23,838,2289
24,1107,2316
25,46,2837
26,130,2835
27,209,2817
28,397,2807
29,426,2708
30,588,2657
31,673,2781
32,1101,2906
33,44,3424
34,130,3423
35,207,3403
36,358,3388
37,392,3388
38,423,3316
39,584,3257
40,670,3368
41,1101,3489
42,44,4005
43,131,4010
44,209,3992
45,357,4001
46,400,3990
47,426,3939
48,591,3545
49,673,3966
50,1097,4070
